"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
11.0,40466.82036627376,19615.191000960043,127.62369500322062,145.56365088957216,8.680405976519147,3.5885912782778795,NaN,19.91833798011357,2.0
12.0,5762.651640016928,5913.2632967726695,149.9071401809412,83.4551915755412,9.422654829531782,1.9945548946257456,483.6417611654872,29.108322853248936,1.0
12.0,7865.804511184819,2150.616866672338,149.52573923538364,77.81998406593978,9.361237181969432,2.253277765278402,542.0827963150343,31.83496009674081,1.0
12.0,18697.044830240142,11162.48792324666,153.03962560613257,127.51116539044027,11.605938581055682,2.2402004694527395,430.931237468592,23.458735406090234,1.0
12.0,28915.749244559287,28915.296890832997,143.2373594862256,94.68366788120603,11.78061243646744,2.1888144495571265,413.3274779207499,26.01456381906972,1.0
12.0,34825.63989989525,28358.771236754397,142.4888617369942,104.00828733195569,10.05512027673501,2.163186720183497,505.9368042755469,24.207009539478147,1.0
12.0,37991.34665388427,25678.606366286956,187.76719523412822,144.19876209156232,8.655110320633986,2.0679777346925077,506.21971755455525,27.473225470645687,1.0
12.0,2514.1962963107926,20890.49337959626,148.56682835117084,474.575363633254,9.393522974517825,7.994590069192045,NaN,15.272247095923404,4.0
12.0,10903.812288971683,13128.904402892627,142.26766261778502,598.708937690033,11.421087031054745,12.509518334990466,NaN,15.708449861402766,6.0
12.0,40338.69561326641,26978.850412456854,135.90914572135662,240.98051832008787,9.052597065650291,5.641949076816937,NaN,18.594644686399267,3.0
13.0,5803.58789047562,5917.584610950063,134.5203695727648,259.2819393567106,10.033054573899546,7.162646881321569,NaN,19.827847232897188,3.0
13.0,7781.854627676316,2172.364008684581,195.69837719046683,235.57609921680358,8.971482536231859,3.51176967176742,NaN,25.57712614821814,2.0
13.0,29906.749503712053,23301.669049806704,183.36226844771315,792.5366409992303,10.904084961710003,13.832616189287878,NaN,20.630318589048308,6.0
13.0,39435.366278551584,3904.2395852591635,147.60502433147752,1043.2699241437913,9.268802064722426,20.300388033976166,NaN,14.841202845540442,9.0
14.0,16966.88069743154,33870.78043633496,137.47123764105336,69.52669971555449,11.83337870648727,2.389326666699361,489.4104704693103,31.43886613082815,1.0
14.0,22573.40700655912,39355.1268773254,194.41358894569498,112.53314236882096,7.956926718415768,2.0875052764219966,669.0829391516623,34.25368029350309,1.0
14.0,28427.75413268298,20795.487210592186,173.8770735236876,121.44962421071665,10.93666694498986,2.0448971006333116,423.25642733808763,27.745990772963907,1.0
14.0,36756.88759603858,27810.053252053764,114.70634627759486,93.04790619398719,9.757815664944436,1.7376029117671226,330.4946324342213,19.105232479425705,1.0
15.0,26548.756574140152,3862.7406720064896,146.54427374068274,161.00102316106504,11.418091867593787,2.7706381417482695,611.7235684126932,20.349592706182065,1.0
15.0,33695.481341320905,40116.30822357582,128.3614852097458,68.00539008479365,7.921326574020039,2.095371361129244,533.3064647044569,27.730324039998898,1.0
15.0,37205.57372893084,20741.516430273652,139.68928206265286,103.39626390470025,10.23479715548106,1.6819480147052979,293.81696090388357,22.293313032488122,1.0
15.0,40317.91075530872,26924.824554545066,127.31169509512348,74.69845597150275,8.792602516519885,1.9680737710188434,504.8012931562479,25.328982068381205,1.0
15.0,21822.184161097844,7917.488390687931,147.82458446823009,241.72301294044775,11.923492013165687,3.993936096782882,NaN,17.821659595855955,2.0
16.0,7272.897774834854,37068.76889312973,156.8411356642429,137.45221347506063,8.400342909981392,1.9077791764677097,421.0284869581908,22.088334264769653,1.0
16.0,13769.41432078501,20794.293578109835,111.43672974878776,68.52168544342535,12.808418622195127,2.264019344440696,405.6725088188149,23.640462359330524,1.0
16.0,21863.898193633282,7964.149082033074,131.90188562875755,108.44506858417957,11.11467655246836,2.154235538959243,463.60370964733676,21.39632017203352,1.0
16.0,32030.502591176668,8335.880116969216,119.49652075607426,60.30114426557227,10.564352188307884,2.235380008818175,520.1800343038843,28.001252345444048,1.0
16.0,2627.252892825424,8224.742966386266,159.2096461839669,399.07303471474074,9.118741344287844,7.377004766149129,NaN,18.652643011893492,4.0
16.0,17696.71460619568,36874.53045133136,179.6470609623927,488.3244283316508,9.212284241261361,7.890510738889302,NaN,20.087916142898237,4.0
16.0,37457.145288392865,22483.925649831195,116.13711250415398,182.35855880184658,10.460256780555497,4.0652553588956275,NaN,15.760171372931865,2.0
17.0,5339.353982093819,36779.51195470499,96.37109428690046,55.975675633835,9.0214385534944,2.103863747999517,559.3460422107215,22.126314720591722,1.0
17.0,18699.821301496653,11093.940073958709,138.4648950554375,76.01410362329365,11.570982201986038,2.0033036578496564,381.62116787634096,27.984983548379642,1.0
17.0,40474.63476583417,19662.540024959835,173.19141024176776,99.80094675006681,8.914160363064372,1.8712734916546996,375.23972989942035,30.54525568528326,1.0
17.0,21004.796681263717,1213.3110747528094,147.1024250859023,414.06693915078284,10.844107684994064,8.288084720215902,NaN,17.142163632454405,4.0
18.0,7825.898006982994,2090.077155273094,217.52065913927913,151.61704121922352,8.363773736638757,1.7238102397293653,327.7776016280337,30.369735511506267,1.0
18.0,10937.9882922305,33225.2239110101,174.4538068634573,188.12739752814906,10.574428805497542,2.9815012058047055,820.9126750925739,23.73359328980914,1.0
18.0,17730.337340009326,36808.26936730173,154.71574781012177,92.49676984565576,9.833534383828713,1.918183806804274,394.63494589417337,27.97417159655032,1.0
18.0,22593.970125180196,39270.694049758255,168.33975845356747,152.91352983922582,9.558628856958224,2.15209653904318,453.19539535409325,23.254220091469318,1.0
18.0,26408.388950683977,4768.508316395715,118.73952203894237,67.44134707825144,10.474743731908694,2.1670884571023623,652.4524061004195,25.5195856507411,1.0
