x [nm],y [nm],BG,I,Frame,Length,z [nm],Photons,Lateral Localization Accuracy [nm]
23139.6,1709.7,429.4794,9096.2207,8162,1,431.925,1988.45964,6.90927
23205.1,1702,416.54111,76465.21094,8165,6,500.984,16809.52574,2.37355
23243.3,1602.3,498.04419,53182.36328,6086,3,413.658,11921.10126,2.56519
23245.9,1604,491.20157,36427.89063,6082,2,443.565,8219.97753,3.22663
23228.8,1613.3,694.23749,11425.3125,1110,1,397.521,2493.71561,8.10067
23229.8,1613.6,468.15329,17977.63477,7570,1,476.29,4038.40712,4.61361
23229.9,1622.3,479.64798,240850.8594,7788,13,532.574,53737.09602,1.38057
23231.6,1626,411.14273,26206.93945,8799,2,564.609,5855.14928,4.30726
23231.7,1612.9,445.78134,52192.82813,7540,3,522.7,11804.10949,2.89266
23239.6,1605.4,457.15704,21097.00586,6078,2,412.472,4718.53364,4.50855
23232.3,1611.8,479.94931,13072.77441,8144,1,489.571,2900.28392,5.78903
23243.8,1605.4,464.05936,54269.32031,6095,3,458.868,12141.76819,2.73054
23232.4,1607.2,498.09271,16296.75586,6090,1,412.752,3683.30382,4.77807
23238.5,1606.8,521.18079,32692.87891,3255,2,419.772,7139.33506,3.96122
23249.8,1605.8,475.95422,36934.20313,6092,2,467.798,8492.5385,3.32442
23281.4,1612.5,439.22403,31118.15234,8041,2,477.547,6915.60119,3.48864
23287.4,1612,482.15564,28469.10547,8425,2,485.574,6356.24945,3.75837
23277.5,1631.2,477.09967,15173.51172,7683,1,501.511,3580.71288,5.17444
23277.7,1614.9,404.69949,14001.52344,9854,1,618.464,3062.09672,6.18382
23325.1,1622.5,413.15228,15411.66992,9959,1,532.464,3400.88978,4.79164
23282.5,1624.7,423.15927,22452.85156,8812,2,540.167,5133.52581,4.78702
23221.2,1648.7,449.94266,59073.03516,6680,6,420.936,13224.97592,2.75671
23248.9,1646,488.67538,23449.8457,5853,2,468.225,5238.26036,4.86895
23246.6,1658.7,461.09702,23596.66797,5970,2,481.954,5139.85513,4.88904
23286.3,1657.7,473.6543,206101.6875,7691,10,484.668,46720.71726,1.31557
23307.3,1692.9,463.58496,126010.2344,7063,7,498.357,28467.06002,1.81445
23361.2,1670.9,426.23587,9655.74414,9221,1,456.803,2115.49487,6.58034
29638.7,1707.6,514.13806,9949.16699,3115,1,198.913,2132.0987,6.79347
37878.2,1667.6,453.01157,10479.5957,5271,1,415.003,2383.86802,6.55156
29656,1712.2,536.3219,14241.90625,3111,2,88.9168,3197.72409,5.2481
37891.6,1648.9,459.01584,9948.44531,5277,1,377.132,2199.78845,6.39782
34426.5,1835.6,429.70428,16672.69922,4963,2,-131.622,3650.15808,4.79709
23307.4,2788.7,523.6601,88139.625,6475,6,448.287,19725.66876,2.26392
23330,2789.3,511.00568,28276.60352,6471,2,428.158,6425.3762,3.78217
24978.6,2266.3,569.78833,16297.68164,1727,1,-34.8856,2189.89535,5.2488
25028.4,2299.2,527.68805,17301.31445,1645,1,-47.5557,2260.8062,4.82835
25001.7,2316.1,827.71466,62319.08594,298,3,-19.5734,8377.73204,2.96288
25006.3,2369.4,943.93427,86468.13281,285,3,-36.7552,10508.04265,2.89803
25007.5,2370.8,942.38129,234321.1875,289,8,-37.6993,28286.06149,1.8021
25023.1,2352.1,545.72473,41189.57813,1479,2,-21.2491,5208.76327,3.66152
25026.9,2358.3,651.75641,22306.46875,1483,1,-17.1924,3072.89144,5.37544
25035.2,2291.5,375.86282,17865.54688,6940,1,88.3682,2381.79813,5.06354
25046,2275.7,544.81006,20659.96875,2758,1,-23.7278,2774.3386,4.2068
25078,2216.8,410.439,20412.79688,4239,1,-37.7318,2955.0844,4.31557
25051.5,2318.6,367.45874,46820.90625,5709,2,14.8677,6153.84681,3.02763
25053.6,2219,741.01416,58583.1875,490,3,-62.888,7783.33273,2.78523
25055.7,2302.4,808.3222,53151.10156,376,2,-70.4824,6564.43718,3.15023
25046.8,2323.5,918.58472,36886.89453,379,1,-133.44,4391.28256,4.50092
28693.3,2124.6,429.90402,13321.35938,9084,1,79.8288,2879.69951,5.09711
28701.7,2125.4,481.23389,24630.34375,9091,2,86.1289,5543.56691,3.47816
32516.8,2383.6,433.80872,8595.69434,5787,1,-73.3136,1827.16958,6.17448
32541.2,2383.9,446.37289,23142.66211,5789,3,15.7331,5062.70953,3.70118
32544.8,2365,424.27985,72887.4375,5793,7,-59.1737,15811.41549,2.31188
37075.2,2497.8,624.26984,8010.25439,597,1,-16.3914,1737.56373,7.46949
37096.5,2496.9,621.53894,8134.52637,581,1,-53.6152,1772.72545,6.54795
37104.4,2502.1,630.90125,38698.34766,573,5,-22.7271,8550.54449,3.02283
37103.9,2504.1,621.23157,7295.21143,579,1,-33.6432,1638.2555,8.15456
37090.2,2507.3,628.90186,8070.45361,609,1,16.7764,1815.24007,6.70442
37096.9,2514.5,619.9043,28778.57227,599,4,2.63653,6208.19658,3.61592
37097.2,2513.6,616.97528,74703.5625,620,9,-43.1329,16975.49666,2.34228
37111.8,2506.3,617.70844,7155.28857,614,1,-43.1627,1566.29107,7.89823
37111.1,2522.3,646.3501,16497.49609,642,2,-26.0237,3610.29675,5.54435
37094.9,2522.8,624.66553,8581.3623,611,1,70.8044,1906.47101,7.23393
37113.3,2513.1,604.48615,25982.53711,605,3,-28.2796,5952.15394,4.03924
37138.5,2522.5,657.72198,7779.94971,635,1,23.9416,1770.52771,7.94547
37105.9,2525.2,610.47443,8058.14014,630,1,-3.08325,1806.75156,6.84913
27613.3,2778.4,512.19409,44136.41406,6225,2,-189.101,10025.70425,2.98727
27614.2,2791.1,576.45587,11945.04492,4845,1,-120.16,2654.24073,5.72302
37109.2,2526.1,622.1048,6790.37939,617,1,73.8522,1475.30486,8.15824
37119.5,2526.3,658.86853,33735.14844,646,4,-11.0038,7415.38292,3.73818
37114.1,2555.7,643.74298,8347.4248,637,1,1.95151,1786.19874,6.84476
37594.1,2869.3,434.87766,13337.50488,5864,1,-303.518,3018.86054,7.15494
37604,2865.8,453.68597,11673.13184,5859,1,-222.635,2519.8427,6.86397
37605.9,2862.5,428.81738,30098.4375,5861,2,-290.588,6759.85339,4.39496
39336.5,2877.5,467.68103,47922.78125,4684,6,223.518,10622.76233,2.72116
37611.7,2879.9,454.74948,13259.27246,5866,1,-236.471,2997.19106,6.70752
38773.7,2953.3,467.703,9422.39551,3325,1,-165.882,2003.63341,7.17997
39330.6,2882.8,481.57675,54145.82813,4676,7,196.46,12210.52806,2.54092
38776.6,2954.2,461.64374,9716.46875,3098,1,-192.07,2121.63527,7.17425
26548.3,2977.2,573.81781,6351.55518,4434,1,126.692,1444.22933,6.89918
36947.8,3358.8,410.31946,9564.81934,7834,1,-130.522,2117.20568,7.12869
25163.8,3521.5,827.32446,34824.28906,1850,2,273.62,7631.65817,3.40971
38785.1,2981.4,456.46655,28188.01367,3328,3,-176.789,6340.76902,4.1469
